Chapter,Question,Question: description,Individual Indicator Score,Source Legislation,Impact,Timeframe for Indicator,References,"References, 2","References, 3","References, 4",Overall Pillar Score
3,3.1,"Foreign equity limits in sectors relevant to digital trade 
Exception: Not cover foreign equity cap in telecom sector (covered under Pillar 5) and e-commerce sector (covered under Pillar 12)",0,"Foreign Acquisitions and Takeovers Act 1975; 

Corporations Act 2001 ",There is no foreign ownership restrictions in sectors relevant to digital trade applied in Australia. ,"Since August 1975, last amended in October 2024;

Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A01402,"https://www.legislation.gov.au/C2004A00818

",,,0.576
3,3.2,Joint venture requirements,0,Corporations Act 2001 ,No joint venture requirement is found as a condition for foreign investment.,"Since June 2001, last amended in October 2024","https://www.legislation.gov.au/C2004A00818

",,,,
3,3.3,Nationality or residency requirements for board of directors or managers,1,Corporations Act 2001 ,"Under the Corporations Act 2001 (section 201A), a proprietary company must have at least one director who resides in Australia. Public companies are required to have a minimum of three directors, with at least two residing in Australia.","Since June 2001, last amended in October 2024","https://www.legislation.gov.au/C2004A00818

",,,,
3,3.4,"Screening of investment and acquisitions
Exception: Anti-trust measures related to M&A are not considered a restriction, unless discriminatory. ",0.25,Broadcasting Services Act 1992 ,"Under the Broadcasting Services Act 1992 (Division 10A, Subdivision A, 74A), any foreign person holding 2.5% or more of an Australian media company must inform the Australian Communications and Media Authority (ACMA). ","Since August 1975, last amended in October 2024",https://www.legislation.gov.au/C2004A04401/latest/text,,,,
3,3.4,"Screening of investment and acquisitions
Exception: Anti-trust measures related to M&A are not considered a restriction, unless discriminatory. ",1,"Foreign Acquisitions and Takeovers Act 1975; 

Security of Critical Infrastructure Act 2018","The Foreign Acquisitions and Takeovers Act 1975 (FATA), overseen by the Foreign Investment Review Board (FIRB), regulates foreign investments and acquisitions in Australia. FATA enables the government to screen, approve, or block foreign investments that pose national security risks. Typically, FIRB approval is required when a foreign investor seeks at least a 20% interest. However, this threshold does not apply to foreign government investors, their associates, or to businesses classified as ""national security businesses,"" all of which must obtain FIRB approval.

The Security of Critical Infrastructure Act 2018 (SOCI Act) designates 11 sectors as ""critical infrastructure assets"" that require FIRB approval, including communications, financial services, data storage, and energy. Foreign investments/acquisitions of businesses in these sectors must undergo mandatory FIRB screening and receive FIRB approval after evaluation.

In June 2024, the Australian government ordered five international companies linked to China to divest their shares in a strategically crucial Australian heavy rare earths project, following advice from the Foreign Investment Review Board (FIRB).","Since August 1975, last amended in October 2024;

Since April 2018, last amended October 2023

",https://www.legislation.gov.au/C2004A01402,https://www.legislation.gov.au/C2018A00029,https://www.abc.net.au/news/2024-06-03/northern-minerals-jim-chalmers-yuxiao-fund-investors/103927762,,
3,3.5,Commercial presence requirements to offer cross-border services in sectors relevant to digital trade,1,Corporations Act 2001 ,"Under the Corporations Act 2001, any company registered outside Australia that meets the definition of a ""foreign company"" must register with the Australian Securities and Investments Commission (ASIC) to operate in Australia. Under section 3.7 on ""registered office"",Foreign companies must have a registered office in Australia, open and staffed from at least 10 am to 12 pm and 2 pm to 4 pm on business days, or provide notice of alternative hours. ","Since June 2001, last amended in October 2024",https://www.legislation.gov.au/C2004A00818,"https://asic.gov.au/for-business/registering-a-company/steps-to-register-a-company/foreign-companies/
",,,
4,4.01,Patent application issues,0,Patent Act 1990 ,"No local presence requirement is found in the Patents Act 1990 as a prerequisite for applying for a patent. Although not limited to patents related to digital goods and processes, the World Intellectual Property Organization reports that in the past 10 years the number of foreign patent applicants and actual grants have been far greater than the domestic counterpart. 

Foreign patent applicants can apply for patent application through the Patent Cooperation Treaty system, allowing a singular patent to be applied to multiple countries.

Article 29B outlines special rules for Convention applications. These applications, filed under an international patent treaty, allow inventors to claim priority from an earlier patent application filed in another country. To file a Convention application, inventors must provide details of the earlier application and a complete specification. ","Since October 1990, last amended in October 2024

",https://www.legislation.gov.au/C2004A04014,,,,6.9000000000000006E-2
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,Patent Act 1990 ,"Patent enforcement is conducted under the Patents Act 1990. Civil enforcement procedures (Section 117, 120, 122) are primarily handled by the Federal Court of Australia, which has jurisdiction over patent disputes, including infringement cases and provisional measures (Section 123). Administrative matters related to patents, such as examinations and grants, are overseen by IP Australia, the national intellectual property agency.

","Since October 1990, last amended in October 2024",https://www.legislation.gov.au/C2004A04014,www.ipaustralia.gov.au,,,
4,4.2,"Patent enforcement issues: civil and administrative procedures and remedies, provisional and other measures",0,Patent Act 1990 ,No restrictive measure on patent enforcement was found.,"Since October 1990, last amended in October 2024

",https://www.legislation.gov.au/C2004A04014,,,,
4,4.3,Not in the WIPO Copyright Treaty (WCT),0,Participation to the Patent Cooperation Treaty,Australia has been a party to the Patent Cooperation Treaty since 1980.,Since 1980,https://www.wipo.int/pct/en/pct_contracting_states.html,,,,
